,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID34,44.4301671578,5.67688991947,38.7475788414,1.0,59.3914326756,30.8576008875,19.8317716552
GRID35,32.1199094759,6.35597800311,24.5238964027,1.0,62.5438165831,19.741860349,20.290289303
GRID36,55.2965414025,2.86554973901,46.8009618908,1.0,66.1356476523,10.6510890219,21.5327323701
GRID37,46.7147240793,2.87910455338,38.6643047539,1.0,68.9878772688,-3.58207142847,25.8498332456
GRID38,42.0493128133,4.33273879437,33.2859377518,1.0,70.4248769348,-15.9683919034,26.7292144238
GRID39,35.5501204725,5.19136169447,27.1570152454,1.0,70.5710578126,-26.8485097387,27.1170678655
GRID40,74.7576872531,7.09173336442,51.4952444801,1.0,69.7462278898,-37.8574705206,29.6090841783
GRID41,39.8253791376,3.41242860452,31.8676681721,1.0,48.7369802131,42.7751517103,28.6168731277
GRID42,48.369815228,2.95574359493,39.5465695049,1.0,54.5745351902,31.9346940697,31.5512397254
GRID43,40.7302863094,5.71887868894,31.8930366806,1.0,59.5296104236,19.9982084219,34.2145288818
GRID44,44.3819707656,2.58084498343,37.8456295303,1.0,61.2063511615,10.541645552,36.963517196
GRID45,66.87664544,3.03051843026,54.1627017242,1.0,65.3995805934,-4.5803047319,39.3734512312
GRID46,59.2068211581,6.04789988025,41.3697369953,1.0,66.1316385514,-14.5022474255,40.4471843918
GRID47,52.5746424187,5.30344121555,39.7915194077,1.0,67.8930279323,-23.5087292339,41.4260799793
GRID48,43.4159643725,4.40961144394,34.6851505508,1.0,66.7055921535,-39.4586648347,41.0259010596
GRID49,42.7254601736,2.76014764434,35.2053421257,1.0,42.3796308653,41.9261959756,37.9484915253
GRID50,46.4140953278,2.61558818996,39.17068801,1.0,48.5010444324,30.9378436786,42.6554077225
GRID51,40.7399250556,3.17675751804,33.4439911102,1.0,53.3811916812,20.6783285,46.0457257311
GRID52,49.4750025819,2.64649207337,42.4621890724,1.0,56.2265587628,8.89597673096,48.8541058413
GRID53,51.7313431356,1.90850824004,44.7063872726,1.0,60.0542435403,-2.28884327116,49.4267616066
GRID54,56.8622338946,5.01862442373,41.3991747585,1.0,60.8886682738,-14.48674399,50.9006472412
GRID55,62.6153178783,3.17340752468,49.6097967499,1.0,60.9457741801,-26.4312175099,53.6582339214
GRID56,52.8720851422,6.15271922265,38.778758551,1.0,59.208257889,-36.3950647969,53.2610605808
GRID57,44.1934625122,3.89311237207,35.4052304764,1.0,34.2209644986,39.6275301018,47.7510806829
GRID58,31.3988388461,4.89902842627,23.7385556992,1.0,40.3566904056,30.1522036693,50.7392177981
GRID59,31.5932202296,3.97868944354,24.7711509911,1.0,44.2313808874,20.5094077821,53.8749219804
GRID60,30.5812718386,3.26941531902,25.261110181,1.0,50.3438603048,7.17764888285,58.7574399904
GRID61,33.8155108523,2.80829030611,27.650135955,1.0,52.3463877959,-2.07855867807,60.0753423008
GRID62,28.5931474629,2.77347846248,23.1364813316,1.0,53.2341043977,-14.236141194,60.8518690004
GRID63,46.7197183076,2.06857202415,39.358413842,1.0,51.5793406299,-25.0862860663,61.6244101041
GRID64,41.6260664334,4.26734378582,32.539163063,1.0,52.3188465928,-37.39722852,60.8025987434
ROF1,38.3352464599,6.45087358204,25.6499120544,1.0,1.42607472649,65.3884597545,12.8432246208
ROF2,39.236435519,9.42925046184,24.1824918732,1.0,4.21826679851,71.8659734562,1.78949401504
ROF3,36.710911103,11.122549469,20.6790304321,1.0,9.45803865028,73.5157255175,-5.37104497133
ROF4,34.3081523444,5.62872238203,22.2717449163,1.0,20.0130106105,71.5669706106,-11.1915357455
ROF5,51.3307977358,9.05547017723,30.9764335281,1.0,27.9350907254,63.5759817253,-14.7963415019
ROF6,57.4305592701,5.52000366031,37.366170092,1.0,36.4895754877,56.6221656817,-15.1239463409
ROF7,54.3069556712,5.72668102211,35.3708666245,1.0,42.9862762813,50.0507955028,-14.8279246867
ROF8,39.9989328908,6.5497047,26.1589958931,1.0,50.0210237212,33.3036985048,-17.684435473
RAT1,43.7657853202,7.53066408786,32.0753641754,1.0,14.5034101229,-0.0825243768173,-30.8499134178
RAT2,44.0637643519,6.21268940146,28.8366870724,1.0,16.6352323674,9.87436850218,-38.6352912727
RAT3,38.3209664604,4.59841262128,27.717661829,1.0,24.9219247424,16.6989566212,-44.3676447876
RAT4,36.3847621259,6.19427652924,25.8420719318,1.0,32.0103796913,21.584054272,-43.2502305728
RAT5,24.8453288804,15.5859092397,11.1147209587,1.0,40.1033637359,25.4296530501,-36.1352686369
RAT6,23.0823579058,30.6345315016,10.3495073713,1.0,48.1626511694,25.504448783,-26.0551797863
RMT1,45.7993300506,5.8115077242,34.2000382702,1.0,20.0812251265,-10.0262408192,-38.235663748
RMT2,40.774646686,3.19150023384,31.1592332714,1.0,31.2850813058,-12.3536501118,-44.6895088346
RMT3,43.8287873594,3.96556131994,32.6513602478,1.0,40.1376746848,-8.47426838832,-48.0954888444
RMT4,45.4250836218,4.0333942665,34.1323823158,1.0,47.5862346788,-1.7427525613,-47.8998716967
RMT5,21.993879626,14.9388083692,9.74352069397,1.0,53.6183686033,2.94506028378,-41.7014780998
RMT6,20.7432743857,19.5980994944,9.25440207796,1.0,60.8622818519,4.25758992498,-30.7963065894
RPT1,52.8801211071,2.44617940332,41.6435760612,1.0,35.0659128138,-77.9387696526,-15.7734774788
RPT2,69.6352277487,6.29456891887,44.8917631737,1.0,41.6804427257,-70.8866682785,-17.4401605401
RPT3,44.1097989409,4.21511203583,33.6163137245,1.0,49.3944329256,-64.164338221,-21.9394059231
RPT4,29.7351090887,5.67719362432,20.2857690628,1.0,57.5885346165,-53.4692871594,-26.2142484205
RPT5,39.9893820671,6.05831234238,26.9457533421,1.0,63.8915897306,-44.8807766685,-28.9184186117
RPT6,51.3155689936,8.30780750763,29.8869563335,1.0,67.6215584476,-34.1205241407,-27.6090872009
RPT7,18.7308553077,9.54257566246,10.0074086082,1.0,67.6888461451,-24.5978237495,-27.1054061124
RPT8,21.0187839201,9.4334530765,11.468115509,1.0,68.6554630691,-16.0859416464,-20.5095560353
