,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID44,49.7901267657,4.24402976072,38.8930327806,1.0,-66.9644472012,-35.1734701706,31.4023408576
GRID45,43.5185542698,4.31587210825,33.8278103382,1.0,-67.3961336807,-27.6408082556,22.1577926814
GRID46,30.0340295302,2.8941106561,24.8880918692,1.0,-67.0467004097,-23.9107984361,14.9616769134
GRID47,31.8592580335,2.94691843696,25.7922709282,1.0,-65.4909980699,-16.1898254809,5.69144435522
GRID48,42.1051379759,3.10002229024,34.4839090811,1.0,-65.5074290406,-10.3032576924,-2.29257254335
GRID50,71.395576947,10.2967069193,44.9200287992,1.0,-57.8547151076,-42.5466370315,55.4453015966
GRID51,48.3573240396,4.23246948122,37.1496922468,1.0,-62.9620862107,-34.5627953929,47.7153919376
GRID52,61.1625746515,5.2935489026,46.556528068,1.0,-65.5096519601,-25.5723241808,40.0258547826
GRID53,52.1338835528,3.77591615028,38.645182933,1.0,-66.2836363976,-20.3064923362,31.7581457167
GRID54,47.0675306574,3.79195521649,38.2483203157,1.0,-67.229763985,-15.1901484658,21.7508344737
GRID55,34.0234018721,6.80734889928,26.071581855,1.0,-64.7306029405,-7.75556729178,10.9154791954
GRID56,34.3552261261,8.5901209269,25.8581255516,1.0,-64.0897705506,-3.71389576257,3.96378707294
GRID58,30.9005968054,2.83923401893,25.0122451406,1.0,-52.310415793,-33.2345821431,60.8904643324
GRID59,29.3718071267,3.94837654036,22.694562111,1.0,-58.1526363375,-25.7898469222,55.4348840465
GRID60,40.3777259565,3.5939185303,31.7189551529,1.0,-61.8205553242,-19.0299316922,48.6304621232
GRID61,48.2593591716,2.92646185753,39.5264141104,1.0,-64.6914557287,-12.5021164859,38.3315827146
GRID62,45.1792609824,6.48010939845,34.0473775932,1.0,-64.1189192944,-4.6621208344,30.83630626
GRID63,31.6699915199,6.77543685345,23.7374415321,1.0,-62.8271967365,2.41780689836,19.6090656935
GRID64,24.2628312525,5.40215962223,19.0790625509,1.0,-61.4325272462,8.7942731612,7.70925794415
LOF1,47.9372079925,8.24850210443,28.3019830479,1.0,-7.6609846956,56.8508158287,-30.775575346
LOF3,43.4040483938,10.6895426654,25.1734670883,1.0,-23.9277560207,53.3262413515,-19.8065940268
LOF5,68.9353545517,6.74090524908,31.9770177269,1.0,-42.8368281518,51.443761811,-14.2382149075
LOF7,22.8393315463,8.26430833349,14.6964314243,1.0,-47.2613063085,49.9768145678,8.2427984953
AID1,22.4771097091,8.68076735026,16.7941421116,1.0,-24.9173134222,3.06679157922,-8.77883238146
AID2,19.4730385982,9.61024930351,14.0662024238,1.0,-23.7862499438,4.53138489564,-6.00668399519
AID3,15.4538987178,12.748136859,10.8566866631,1.0,-22.5523803257,6.19970043341,-2.71043123037
AID4,11.389185486,20.2595365387,7.66731145077,1.0,-22.1926527405,8.09392659917,0.22711632884
AID5,6.70534879478,18.0909932266,4.3999837831,1.0,-20.5721417089,9.62945285228,4.38082420738
AID6,5.62454275169,29.8544052449,3.28918082371,1.0,-19.0478192322,11.7446491708,7.78998879336
AID7,6.58662134779,21.1828941359,3.29034447784,1.0,-19.1724126337,13.1672263971,10.6171646352
AID8,8.64351267437,21.2724743244,4.17058732681,1.0,-18.1045165923,14.4114457928,13.7978565326
AID9,11.3362793903,20.0422835452,5.57049011765,1.0,-17.894512345,15.9407323661,16.8278012935
AID10,14.3511649568,18.9522778888,7.20059140949,1.0,-17.8248327301,18.8991813015,21.0646779142
AID11,18.0235441158,13.612606335,10.5795623597,1.0,-18.0715835276,20.4065175647,24.1505575801
AID12,37.3430331412,5.29261475087,26.0855259098,1.0,-17.0173070162,22.0814341814,27.3142538825
AID13,56.7542091209,7.02553964669,36.6800072205,1.0,-17.8854478657,23.5631234605,30.4628597389
AID14,80.4391304509,27.6315383183,33.6829855923,1.0,-17.3324794784,25.788050368,34.5866459232
MID1,38.2594917627,39.4800815792,17.7001083624,1.0,-52.7048522509,2.5188872055,4.96168372366
MID2,41.7309290095,40.0850552505,18.8592160472,1.0,-52.408771592,4.80151054236,7.02874117725
MID3,31.7903415438,34.3118296448,14.7556646719,1.0,-50.2542900832,6.49832368126,10.5631929223
MID4,38.319514351,14.1727645656,22.5433895823,1.0,-48.5475410219,8.12954364791,13.8450632599
MID5,35.0972589744,9.30433589473,23.1124942205,1.0,-46.7672607899,9.12825875244,16.2649242168
MID6,35.6299744837,8.80523879029,23.812102034,1.0,-44.5542449488,10.2623894966,19.5795176718
MID7,28.1779586797,11.483790199,18.6226457268,1.0,-42.7619417625,10.8981432949,22.8082404173
MID8,32.618519968,10.7659703678,22.5796862595,1.0,-40.9578873816,11.4158557808,25.3343997605
MID9,44.5937821625,15.9876894838,27.3749649788,1.0,-39.172423727,12.0577144144,28.6486444769
MID10,48.4035638614,13.7009845106,27.0299648569,1.0,-36.893731622,12.7609788708,32.0618364206
MID11,53.0370206205,10.5291184397,31.5477085299,1.0,-36.0799609432,13.3278342632,35.2230607336
MID12,48.4184465828,12.5254868381,28.4110922367,1.0,-33.8085614897,14.5244445534,38.643960343
MID13,42.9683195612,17.050955598,22.038534064,1.0,-33.0679232307,16.0778271113,41.8285790256
MID14,47.648827818,14.4391626103,25.9890585577,1.0,-30.8359940201,17.4488442509,46.0266134798
PID1,25.6681488742,6.21550492204,19.4439946684,1.0,-29.1836407091,-9.85924769387,-10.1711404609
PID2,20.4665654116,5.78024565998,14.9134034337,1.0,-27.8425397449,-9.38488048242,-7.74481989613
PID3,16.285044811,5.62632852588,12.2497581113,1.0,-26.5412407773,-8.71517278155,-4.27688503148
PID4,13.3926410629,4.32692002224,10.8829897711,1.0,-25.2130582321,-8.39339587382,-0.810221457507
PID5,10.9001691075,4.92130548423,8.67154567766,1.0,-24.472457686,-7.60179786146,3.23308298294
PID6,8.77423800705,8.49203304943,6.17470162153,1.0,-24.1868154055,-6.99407097187,6.45502313588
PID7,8.00618563151,4.9306708807,6.09013415294,1.0,-22.3758049628,-6.67451677846,9.89218710023
PID8,9.13545550124,4.71032246221,7.32826851697,1.0,-21.6894183128,-5.45201037531,13.8696967469
PID9,10.7208619049,9.63531056941,7.25866913295,1.0,-21.0045929565,-4.23160075472,17.9580029082
PID10,14.4782531594,10.0799973454,9.01259884872,1.0,-20.6490615916,-4.26995195531,20.2760736004
PID11,17.3323797506,9.14063012005,11.3040756237,1.0,-19.4701414196,-2.5876850058,24.3482393428
PID12,19.4303239047,8.60448689779,13.1416622452,1.0,-19.2404574561,-1.58849232797,27.5818863509
LTP1,736.37279411,225.676617819,28.8593196505,0.0,-13.2645772177,-11.7859641322,-29.2441309152
LTP2,48.2176391609,19.6426695572,31.914755868,1.0,-14.7499929229,-2.98112778676,-33.168926594
LTP3,57.8158245537,3.16567616105,41.2192905132,1.0,-15.0246004952,8.53885206889,-35.2343910545
LTP4,43.785851387,6.89051053686,31.8288957253,1.0,-20.9703063684,18.8614629915,-39.709511897
LTP5,68.1988719724,3.92135950672,51.6222171032,1.0,-31.1262656936,23.4570013783,-40.7632521616
LTP6,78.5092931351,3.56547380126,58.6010199932,1.0,-38.4246924519,24.9929598368,-35.7662238286
LAT1,63.8303890188,4.98661956437,40.5837374062,1.0,-14.4149400815,-3.01897396074,-30.9029939516
LAT2,56.0654755176,5.5781013601,33.5824475716,1.0,-18.6576272134,-8.55924581149,-41.125640044
LAT3,63.9242467744,2.82623875603,42.3340372421,1.0,-26.0206887679,-7.99137530364,-50.6209824181
LAT4,73.0537856183,3.4376807747,51.8106300991,1.0,-37.3849208692,-8.16847002535,-49.8809134707
LAT6,68.3352678936,4.17889898675,44.6529920906,1.0,-54.1917401397,-8.5751481627,-40.8761711678
AHD1,28.618626545,16.653184564,18.984890694,1.0,-11.9806313456,-17.4902216757,-20.4173640478
AHD2,20.6864369832,33.517982843,14.3722568939,1.0,-17.4961444199,-17.8174075956,-20.511633843
AHD3,38.9136087928,57.5409608334,22.7132731888,1.0,-23.1899689856,-16.2949686603,-20.3016071666
AHD5,57.745532014,26.1848920172,40.3144426712,1.0,-33.9079964459,-16.9128520628,-20.9553986082
LMT1,45.7485674947,6.14470908584,26.3963516447,1.0,-18.9606779151,-37.4602038771,-20.7127568589
LMT2,47.6171262767,4.18791872462,30.850679702,1.0,-28.69271616,-35.9147389395,-27.7265572792
LMT3,49.0842874943,2.67291343572,34.2547201172,1.0,-35.2467329417,-32.2776718839,-30.5860131909
LMT4,87.8350531321,7.83985643461,49.014381934,1.0,-45.1088194544,-31.1098562445,-31.0752691273
LMT6,49.7644283856,5.20061107851,29.8154983549,1.0,-64.5363955697,-24.3275527239,-30.1041449303
MHD1,33.1494728722,12.2225464434,23.2992126363,1.0,-17.2206310161,-22.7829568325,-15.7136481978
MHD2,72.8659816332,20.8114714659,42.1247633068,1.0,-23.1349473936,-21.9685538016,-16.0005903762
MHD3,37.515028502,31.763056562,23.7751903027,1.0,-28.3690452594,-24.142939055,-15.8495111342
MHD5,64.8963236393,12.0056248055,47.5391993454,1.0,-39.6954978276,-23.4398423299,-14.84996299
LPT1,56.2928264764,2.78947061279,37.0348171022,1.0,-21.1710912202,-75.9747467023,-21.7606358716
LPT2,62.4078469374,3.02526138468,41.9712033783,1.0,-34.088512814,-66.941748626,-25.1262765126
LPT3,57.8794608899,2.54932550714,38.8069336859,1.0,-42.0620789658,-66.7893250497,-27.572681246
LPT4,56.1075819326,4.25263088584,34.9373891985,1.0,-55.3902552367,-63.8184269284,-25.3551175702
LPT6,80.0859941424,6.49210665047,43.5545280361,1.0,-66.4552120635,-49.1905098917,-13.0191475876
