,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
RF14,22.5185601989,6.23344935414,9.10116664352,1.0,56.2221779464,43.9059052039,11.207260997
RF15,30.2385688664,8.25571346168,11.7923706327,1.0,60.1958957407,34.8194134279,13.0598641979
RF16,32.6397483418,22.0940482187,12.546801685,1.0,62.3274333441,21.1835343733,13.2471060825
RTP1,48.4279789105,12.0430991328,17.9537580997,1.0,15.4154101682,16.4788204588,-31.9690124399
RTP2,34.1419799365,6.93600827441,14.2060077624,1.0,23.7192290841,20.4527082515,-38.3450425358
RTP3,34.2193767026,7.88535635706,14.7785460995,1.0,32.622329115,23.3087642039,-37.6639543592
RTP4,36.5562062685,6.27707932617,16.3221580553,1.0,42.9716059183,23.6830014923,-36.2831697727
RTP5,57.7654529084,4.194037867,22.8967205063,1.0,50.5585556888,19.4193940779,-31.7912395473
RTP6,56.9338660257,5.70638350028,21.4716414997,1.0,56.8460667437,14.4313929618,-23.3075491833
RAT1,52.7195881303,8.37872800369,22.3083964869,1.0,20.2023034496,4.8578092721,-44.9136361283
RAT2,50.8686431311,6.15464490668,20.6709746369,1.0,26.4793213663,-0.210073779238,-51.9506768442
RAT3,54.7179581973,4.64484897934,23.7764062717,1.0,34.8747301295,-4.39201131618,-51.2055233209
RAT4,50.8967391131,4.70406132752,22.0992059727,1.0,45.1910259551,-5.32875993641,-49.5241766411
RAT5,100.161206005,3.89852483213,38.0336027979,1.0,55.6648947043,-5.9708453849,-45.5355210232
RAT6,66.0883960971,4.38334457442,26.053200927,1.0,63.9134844821,-4.24225194708,-34.6271508684
RMT1,64.3912290522,27.1724843704,23.2028364819,1.0,16.925422136,-8.09450912464,-32.9371564702
RMT2,49.6358176354,13.0073944867,20.0057059319,1.0,22.70827556,-8.13382945201,-40.5490789063
RMT3,52.5566311024,7.98971505351,21.2114396685,1.0,32.6294810148,-12.1005632961,-44.4597744249
RMT4,80.9541263588,5.61180186064,29.7714208895,1.0,41.9469542613,-12.6468456205,-44.304957191
RMT5,51.3741645878,10.5594819974,22.6522060902,1.0,54.6280275898,-12.4213878945,-46.0672284242
RMT6,52.4091943429,3.97447206837,23.339753187,1.0,61.4448399806,-6.47389694585,-40.0560346332
RPT1,53.1591043347,7.10490459845,24.0696768064,1.0,4.36283322899,-57.9408861438,2.7004982547
RPT2,59.8882618754,5.72061315235,25.1504188185,1.0,11.4158455308,-54.5819725973,-7.8395964289
RPT3,46.7829930801,5.42114894298,20.088985675,1.0,17.6740385758,-53.1348627832,-13.7430277244
RPT4,60.4529289027,5.80488285955,25.4607723049,1.0,27.9124801273,-50.4395400628,-21.5505479886
RPT5,84.9951929195,13.8325525929,33.4896606468,1.0,35.655350221,-50.6314536603,-24.9932962549
RPT6,49.2718046768,4.07675979208,22.4643522986,1.0,44.120420217,-48.3116340505,-29.7794362119
RPT7,50.3021112501,6.41499138505,23.1529237787,1.0,54.8108895376,-43.3731363963,-31.9869077979
RPT8,68.2019096288,3.20962961332,31.7769992958,1.0,65.5035920114,-44.2232974748,-24.1492617232
