,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID24,40.6568858776,4.83044689051,35.2345989075,1.0,65.6341290448,0.720196127904,-10.7535558541
GRID25,34.9753492682,13.3743768016,28.3380690514,1.0,28.6735423666,12.4763242291,65.6712813502
GRID26,101.832122741,8.94717403253,77.419210516,1.0,37.3750961122,11.8756833482,61.1994359769
GRID27,46.5095053085,4.53806929773,40.0731519871,1.0,48.6016805905,8.15973057209,54.5666810542
GRID28,47.1784038591,5.70001880885,40.3770537678,1.0,56.934234968,5.08558648758,44.2427199126
GRID29,58.552035113,3.78321180501,47.1783378965,1.0,63.2220976364,1.16091764833,33.779836923
GRID30,30.3003500817,25.9919266064,27.6630733006,1.0,67.0487008275,-2.49451007483,22.0798060501
GRID31,28.2640334718,1.91083295167,25.9532581656,1.0,67.8459394324,-7.15910730252,7.49059063208
GRID32,48.464554962,13.6449694801,41.772679458,1.0,69.3803582513,-11.5124888908,-2.10178432072
GRID33,49.3850140852,16.0722090748,44.5541083534,1.0,27.6520495291,2.3968155668,71.012933998
GRID34,52.6755614829,86.9467681931,39.4400873749,1.0,39.2095624278,-1.73186501935,65.144641165
GRID35,40.4297024288,11.3210392666,36.9116917488,1.0,45.884014286,-3.9758562173,60.6877684229
GRID36,41.7690920663,36.8571867912,36.0298667261,1.0,56.9304462542,-6.30065388946,49.8516488757
GRID37,43.6666934901,43.7746896822,35.5191667797,1.0,62.3326849828,-9.64871925186,41.0819036824
GRID38,61.3200051073,217.128247527,45.2118147205,1.0,68.1149353778,-13.3538975618,26.8714583486
GRID39,33.4137996432,2893.12975348,25.193758219,1.0,69.6904542856,-19.7466308863,15.5050063848
GRID40,42.5757186789,55.097315887,37.9157343899,1.0,71.9877601584,-23.2744578887,-0.527787942253
GRID41,99.4606909868,3459.81230272,42.1471399658,0.0,27.7571679512,-9.15594331692,74.0442803537
GRID42,72.1885555712,21448.1086319,38.0447614351,0.0,36.655175356,-12.9509469721,68.8190125224
GRID43,206.020958971,2936.60435128,23.0152025545,1.0,45.1661240911,-14.883591607,61.879411939
GRID44,89.6868133495,4664.5713092,26.8319570166,0.0,52.9684468106,-16.6649645368,57.1086439504
GRID45,98.3158489891,5104.42011025,40.5800131474,0.0,61.8252790447,-19.7891612585,46.5883148172
GRID46,100.799902244,7295.35649012,41.5205001949,0.0,68.4823210611,-25.0853963302,30.6803765882
GRID47,82.4683319631,7812.37286542,21.9082422695,0.0,69.344175241,-28.8743708474,19.3170357278
GRID48,90.3372184364,4357.49659144,36.6240797121,0.0,71.0186813295,-33.9968108137,8.19432170658
GRID49,39.3479677139,401.883867483,29.8761016886,1.0,25.3926920933,-21.4567880671,76.7422324677
GRID50,47.5613447703,297.716630745,36.1527941311,1.0,35.1812387541,-23.8737479031,70.6961464295
GRID51,42.0280912705,38.3059517526,31.7828797789,1.0,41.9922331428,-25.385769303,64.7563777658
GRID52,68.1109107186,20.1133205713,49.684847493,1.0,50.1975630374,-28.4669338737,60.6829731249
GRID53,69.9198663983,66.8436708379,52.651950626,1.0,59.8837145829,-32.4007425381,50.501636747
GRID54,86.364518452,4449.18948742,32.2777254679,0.0,66.3428178348,-35.9576053111,39.9674726373
GRID55,37.0597916485,257.319220104,31.2037646044,1.0,68.4742027352,-41.0279294306,22.3442879581
GRID56,45.8829248102,6092.63368802,28.7482649111,0.0,68.644120316,-43.6262793386,12.3629331105
GRID57,75.7807563696,4799.10742297,33.8004227554,0.0,20.1268192526,-30.6308815365,78.508061832
GRID58,54.5115404321,546.196730068,40.015230855,1.0,31.7701976567,-33.7850390484,72.1314939742
GRID59,84.5603295437,4649.56089574,34.1935512165,0.0,39.9876761881,-37.0196935867,64.9479460574
GRID60,97.2697203187,3684.30331025,47.6204911205,0.0,47.1167229673,-39.4613859441,59.6794498068
GRID61,86.2967188428,6059.92815119,29.3969250338,0.0,55.2338897571,-45.0579476209,52.5929288468
GRID62,87.366312254,5340.30577376,32.7042973206,0.0,61.2183223926,-47.1820908787,43.2473643272
GRID63,90.4286607474,5326.06197012,38.7735624041,0.0,65.4910806116,-51.2935636061,29.3845212071
GRID64,90.3877977685,5670.79149387,35.070458634,0.0,65.1458208991,-54.9060687235,15.4549320322
RAT1,27.1523939384,4.31274398922,21.418326911,1.0,26.4717703121,15.0542243976,-44.0937238051
RAT2,24.5956129617,2.06530512671,19.0072051406,1.0,36.4532227474,11.4697156498,-48.3210874006
RAT3,31.1754707278,5.94775808025,24.1515454599,1.0,43.9841736823,4.32060711289,-52.5594473376
RAT4,29.153903708,78.4063274244,22.3905019715,1.0,52.7317469163,-1.71587502833,-48.8499469885
RAT5,16.4255862788,4.62136910041,12.2786034431,1.0,59.1961379787,-4.90553023754,-43.6021722535
RAT6,28.0008843155,24.8535053958,21.8625621285,1.0,64.9923430816,-5.77265538079,-35.3284223513
RMT1,68.7219898324,124.133329704,49.8304244431,1.0,17.2530231891,7.67935697075,-34.9071067646
RMT2,23.2529590658,122.780366885,17.7496944506,1.0,23.2339908175,5.6903950106,-45.9437730958
RMT3,30.2033367255,16.9185535467,24.0779708467,1.0,32.0564928629,0.928028977685,-50.8676523792
RMT4,26.6936532525,1.87863939478,20.8882082211,1.0,43.4343722279,-1.20404211684,-53.5723677976
RMT5,22.881090188,3.24078524845,16.1494869103,1.0,52.6357790263,-7.75439771337,-49.0473271561
RMT6,16.6800585968,3.2165555897,12.3217965031,1.0,59.624902737,-8.84505707984,-44.5913179313
RPT1,75.0390845802,14.1275755897,57.4263429554,1.0,2.38851178597,-80.3570665679,-9.63586283148
RPT2,82.2521325129,2.57581557115,65.9435899326,1.0,9.85581874555,-73.1593432697,-17.4042279586
RPT3,75.9659922437,3.10196620057,59.0519126415,1.0,20.6049509857,-67.5955533731,-17.755464587
RPT4,62.060125364,14.8813606801,42.6122099653,1.0,31.9133087223,-66.5223933358,-20.8459396453
RPT5,47.1917778566,1027.46862637,33.5630783152,1.0,40.3142133784,-58.7590045817,-24.6416447366
RPT6,35.6127544426,101.303710452,25.5400817677,1.0,46.5630061484,-54.3484015353,-28.659862005
RPT7,51.9751626355,4.50818223795,41.4189809155,1.0,57.0125483745,-50.699035991,-33.8023337802
RPT8,60.0926786859,9.03119386019,45.6082475069,1.0,63.9617134141,-41.2665713072,-32.979623874
