,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID53,65.4993304602,3.33610595054,54.9858958282,1.0,-66.73103902,-11.3800333613,-19.735721032
GRID54,58.5287088137,4.05474711458,46.6860358452,1.0,-68.5153120673,-22.9557265158,-16.1827033309
GRID55,58.8081494059,6.82595749697,45.3180989021,1.0,-67.8665626966,-32.1269814149,-12.8235395533
GRID56,53.948855466,4.79626812156,42.5467554806,1.0,-69.9288908767,-44.5412866288,-7.14369134526
GRID57,49.6236801604,3.52786286672,41.2997933224,1.0,-40.3524337713,13.8730224505,-42.6553242178
GRID58,64.4415635059,4.19922925082,48.8167077782,1.0,-48.4768918385,8.74218327097,-42.3652459878
GRID59,57.5464327871,3.66649309578,44.0647119026,1.0,-55.5488005319,2.11451143195,-40.4358229912
GRID60,51.0344025231,3.44156577538,40.4434880974,1.0,-59.8434723876,-6.37536186514,-37.3156180811
GRID61,57.6623088608,3.28667404544,48.6979726387,1.0,-64.7302147085,-15.7293314536,-32.3246146824
GRID62,62.3069095848,4.35546264148,50.5605714615,1.0,-65.8217756108,-28.5760247136,-29.5912074015
GRID63,55.2040523072,6.60358942126,42.4370948639,1.0,-64.1312375329,-38.0847521335,-24.5002308743
GRID64,75.2011917655,3.97207457106,60.3468207436,1.0,-66.2271148336,-47.1016359758,-19.9440148845
LID1,30.7129410458,18.2236694945,23.1394958038,1.0,-28.175184183,-0.41670732296,4.99667469191
LID2,403.155912831,406.26824349,14.9790183981,0.0,-33.9979631597,1.28534340714,6.55289283299
LID3,25.8401085743,4.81746707987,20.6495163174,1.0,-39.1325534585,3.84598890191,7.04139767493
LID4,35.0918161862,4.47729439616,27.3251979092,1.0,-43.9333593137,5.31180455903,7.66679733417
LID5,33.3362840864,104.579456345,26.7602417049,0.0,-48.3515165904,6.31721922339,9.38716503722
LID6,12.5567983379,2.84993773452,10.0043884804,1.0,-53.6533817974,7.92608326877,9.52476226371
LID7,15.7702639513,7.09985820066,8.78564246063,1.0,-55.4621858282,3.383564814,13.5298428047
LID8,16.6850054902,7.09117496847,9.44812292032,1.0,-57.8134315704,1.37846565756,16.76213606
LAT1,41.4915380038,6.56704298783,31.6565929058,1.0,-13.6231012119,-3.00729486944,-34.4893187007
LAT2,45.2007919434,2.27098620123,35.799430687,1.0,-19.2928622147,-7.54375911224,-42.119318173
LAT3,48.0861526372,3.70460592541,35.5519696667,1.0,-29.7318739279,-13.2323582081,-44.6316285887
LAT4,80.9186763318,3.32538809084,62.6881381119,1.0,-40.4714952007,-12.2898323553,-45.1025217259
LAT5,43.7180059117,606.472741448,30.5803867413,0.0,-48.4172893609,-12.7082644528,-42.3210890906
LAT6,21.9334518426,2.58076040402,17.1865084711,1.0,-59.0120992338,-13.6317893901,-40.4964658427
LMT1,49.1286970397,2.01496536482,38.6605974621,1.0,-35.3787292478,-42.4324049125,-28.6445793769
LMT2,45.1928104964,3.22012872853,33.7352666073,1.0,-44.8336304355,-38.1067174635,-32.027950757
LMT3,20.0175083274,49.7603020375,12.3146859118,0.0,-55.2646736224,-32.0023951969,-36.3606746109
LMT4,16.6087845666,5.48305154182,11.3103364506,1.0,-60.3629009016,-34.3766581088,-33.6765890899
LPT1,53.9625259995,4.41877706244,38.487808255,1.0,-24.3010015503,-64.5577587825,-19.2029200848
LPT2,56.3021010701,4.74851554279,39.0327264198,1.0,-29.7008425229,-58.5599126586,-22.1958271533
LPT3,36.3035184643,2.09245953541,28.0357452026,1.0,-37.4555015277,-52.3314902727,-24.570008817
LPT4,43.8867174461,2.48660212992,33.7697209499,1.0,-46.7241743232,-44.354361478,-29.4776148347
LPT5,52.660152705,5.20422310692,36.0520411949,1.0,-50.1144890729,-38.2778035122,-30.7140340677
