,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
Grid40,82.9510674849,2.46068549096,69.1596386993,1.0,-67.3280317513,-52.6832113822,24.6358438403
Grid41,29.8269574579,10.1538883165,21.949987478,1.0,-56.2897037686,21.2319402019,-8.41806554535
Grid42,34.0942798156,5.31208782517,25.0233005619,1.0,-59.4481886533,14.1922505236,-4.39582906566
Grid43,40.9104161873,12.2586150747,25.857656131,1.0,-63.6775584624,4.42680519729,-2.0001069716
Grid44,39.8558782525,6.99534678579,30.4600920507,1.0,-68.1360492931,-7.06722281109,1.73951883479
Grid45,56.0964175795,3.41458813083,47.5113677925,1.0,-71.4998363072,-19.4056869386,3.58607520241
Grid46,66.8605855207,10.35346356,51.895801664,1.0,-72.4917197156,-31.8087515214,5.24336653968
Grid47,86.7690782388,3.65333601601,68.0150017536,1.0,-72.3400853923,-44.3898118107,10.625862657
Grid48,122.795666398,3.10276985909,93.9400253998,1.0,-67.2220430026,-55.6455627123,13.5905584263
Grid49,32.4076505007,5.59889185164,25.7709532934,1.0,-51.8285283922,19.1411496659,-20.0498658946
Grid50,36.6543964697,4.87095487992,28.6775068216,1.0,-57.17220328,10.5480354825,-19.4342117471
Grid51,39.8310497533,5.32460340815,30.1793657925,1.0,-62.6063086534,-0.793973387297,-15.6757917358
Grid52,60.3279565013,13.010037235,40.6174480282,1.0,-67.1872507027,-13.6186928881,-13.7219549975
Grid53,145.999880857,2.65438237493,112.891576625,1.0,-69.7916585143,-24.3080194199,-11.8071919556
Grid54,151.023630305,4.65785598715,108.420582722,1.0,-71.8525314719,-34.5430407959,-11.4695982384
Grid55,86.2428286765,5.77742698381,69.3277393559,1.0,-72.3356566774,-47.948300999,-4.06430242945
Grid56,96.6106383346,2.92080358982,79.946715374,1.0,-66.9498122374,-58.3410119849,1.65353965628
Grid57,37.7836256428,2.90051869576,31.5617190388,1.0,-48.9742428842,16.8316289117,-32.1328411952
Grid58,52.2396583002,1.22489077243,45.9846945688,1.0,-55.2659359303,8.11677955675,-29.0471208374
Grid59,34.9235386137,3.66642140032,28.3464535824,1.0,-61.3416899995,-1.80013529551,-24.9086666633
Grid60,73.8037338251,1.83880272208,61.4066650543,1.0,-65.4651034221,-14.2796302026,-25.7573476243
Grid61,72.2120347171,5.25165498477,53.680069455,1.0,-66.9848577093,-25.5526357626,-24.8010610042
Grid62,160.247479389,3.37782708673,122.8830928,1.0,-65.2439715903,-35.9043045645,-21.8402571937
Grid63,75.6131489805,15.6747182244,57.5146845234,1.0,-66.3134866043,-47.3581046904,-17.6533187066
Grid64,71.9678916376,10.212015544,58.5188063438,1.0,-63.3514897177,-57.7007076804,-13.0657226021
LF1,37.2649216059,16.8832659028,23.0896856097,1.0,-12.6212726484,71.6650505576,-7.56359562786
LF2,40.403817814,12.0043469084,24.2808255964,1.0,-22.1600416165,69.2554922468,-8.42965927125
LF3,47.7148029914,6.91471641113,27.5993763153,1.0,-33.539636846,64.7599110109,-7.86362309506
LF4,49.3271639514,6.93688941084,27.9597527905,1.0,-43.3232132029,56.7916694146,-9.48413732313
LF5,44.7163939654,7.24149715332,26.175595285,1.0,-48.1484116087,49.6671157217,-9.04818329197
LF6,43.1513510346,4.6051917179,27.9782072422,1.0,-53.6289155986,38.7886091628,-9.3814688266
LF7,31.5557818411,3.99386253717,23.4593635414,1.0,-54.6706215373,29.8610953026,-11.6055246311
LF8,22.8950033976,3.8464001097,17.8457871145,1.0,-56.2311490706,18.0972430136,-11.8190703425
LAT1,88.6061998686,8.82557214262,58.9417543259,1.0,-9.74759370462,-8.00525341956,-22.52059766
LAT2,47.1061640638,3.371836988,34.3420309393,1.0,-12.919742782,2.10400019271,-36.4841907372
LAT3,39.8791735685,5.43575156924,26.1103953054,1.0,-15.0837635352,9.31991705653,-40.2413006433
LAT4,35.6668287779,4.47848659281,24.1206004606,1.0,-20.6909132002,18.8119143785,-40.8770369147
LAT5,43.8037872929,5.18644502299,27.8463311531,1.0,-31.1103281096,16.6326667882,-47.8916455658
LAT6,30.1929702531,5.30625280336,18.6045327361,1.0,-39.9170045452,18.8451816519,-42.6226864366
LMT1,58.4999265847,2.97417835928,44.5251230438,1.0,-21.5460141345,10.9828429938,-47.859242088
LMT2,42.5494860936,4.11796448486,32.1975195814,1.0,-27.8985728037,5.43552547834,-51.1548055914
LMT3,39.2967243229,3.81544572312,28.3974776247,1.0,-38.9704864111,2.86802715474,-50.8409415297
LMT4,63.1503479131,2.5731840038,44.6480377235,1.0,-46.4582735098,5.14393577153,-46.5628719038
LMT5,20.2176554873,4.06421266081,13.0611954909,1.0,-51.502293231,8.77199018752,-37.51313183
LMT6,18.853371194,4.55946821009,12.4243903599,1.0,-57.5213531747,5.18341878354,-26.3703843459
LPT1,79.5755781364,5.81305685706,57.3264016079,1.0,-15.274149782,-11.0576028265,-38.9612213439
LPT2,50.6963369113,4.64327755192,34.9752991556,1.0,-26.4691875087,-17.5026380166,-38.4194729714
LPT3,38.1621965591,6.68468285947,25.9738688416,1.0,-35.8928418671,-21.4001007115,-36.5021527217
LPT4,47.2747371629,4.56840879404,32.3797622412,1.0,-44.8698930143,-19.2425401351,-39.2484283641
LPT5,45.0030781362,2.29121850814,33.9336745863,1.0,-48.6284427712,-10.3847698453,-47.4411234658
LPT6,25.8480796819,4.23505965014,18.8474006453,1.0,-46.6098378582,-0.376517115957,-48.2206020229
LTO1,63.2004115666,6.13337293504,45.6795075371,1.0,2.18847663368,-42.6650925544,12.8488372724
LTO2,55.4701363341,4.18337529864,41.7368041283,1.0,-3.36427558578,-44.1409867756,4.51418493414
LTO3,47.8977751184,2.14534660571,37.9493220011,1.0,-9.21483099487,-45.2226458725,-7.66102493731
LTO4,40.900776753,3.57599643669,31.104506179,1.0,-17.7567200025,-40.7778295004,-16.4995239777
LTO5,67.2255553097,3.06233922398,53.0480822479,1.0,-25.7167195302,-40.4398411141,-23.4656245197
LTO6,64.1209625342,3.43755706587,49.4340467995,1.0,-32.3010350139,-37.0432965144,-29.8514466416
LTO7,64.7149890612,2.94338705092,47.5962989914,1.0,-45.663349453,-35.6774419328,-31.4182703276
LTO8,98.8545605958,2.1177872229,74.1162623772,1.0,-54.9979788368,-34.4936409392,-31.1025124442
LID1,72.7554981323,3.37884750251,55.7009195847,1.0,-25.3053716907,5.27630125811,-16.2779211006
LID3,37.2673062673,6.3426339375,25.8586798073,1.0,-24.5759296549,6.11710333661,-9.53707411663
LID5,31.5861170619,13.0623129349,19.5084113377,1.0,-23.7179306572,7.30843150227,-0.885148189952
LID7,23.9190192484,15.9828782457,13.3814881107,1.0,-23.8947198153,8.04826669787,7.22681225165
LID8,15.6599854055,11.9721948509,9.15857381659,1.0,-23.6477096205,8.54404335801,12.3788968086
